domain,expiration_date,notes
sace.it,,tranco:285786
pop.it,,tranco:593349
1cdn.it,,tranco:523464
hsr.it,,tranco:174207
innn.it,,tranco:134139
cnit.it,,tranco:465833
lidl.it,,tranco:21050
a2a.it,,tranco:147710
eadv.it,,tranco:195844
iuav.it,,tranco:127627
usb.it,,tranco:341320
pin.it,,tranco:4408
usi.it,,tranco:845430
snet.it,,tranco:108976
labs.it,,tranco:169434
oxid.it,,tranco:488518
chrg.it,,tranco:358634
brt.it,,tranco:52255
jpst.it,,tranco:308320
femi.it,,tranco:549520
3cx.it,,tranco:196760
fnco.it,,tranco:333203
135.it,,tranco:662858
mohd.it,,tranco:192510
sad.it,,tranco:940668
ekoi.it,,tranco:365301
eng.it,,tranco:116381
lapo.it,,tranco:349884
q8.it,,tranco:151619
z80.it,,tranco:282384
pusc.it,,tranco:125346
tnx.it,,tranco:53323
sian.it,,tranco:70811
dns.it,,tranco:4734
lnet.it,,tranco:388562
has.it,,tranco:609908
msn.it,,tranco:703902
cnel.it,,tranco:318183
mkt.it,,tranco:810258
wizb.it,,tranco:331228
chng.it,,tranco:16784
urbi.it,,tranco:115797
clal.it,,tranco:497114
dsy.it,,tranco:260112
crif.it,,tranco:390234
bofh.it,,tranco:324781
vwfs.it,,tranco:95162
bcc.it,,tranco:161933
cnn.it,,tranco:117926
actv.it,,tranco:422047
